sub_id,str_diff,comp_diff,soc_diff,door_diff
1001,[-0.06588719785  -0.1326077282  -0.2744508386  0.2026599348  0.6292588115  0.4958930016  0.2219054252  -0.4295623004  0.05347199365  -0.01865944453  0.04144149646  0.518923223  0.8410477042  0.193956241  0.1300509721  -0.6956005096  ],[0.4687491357  -1.137569904  -0.2790787816  0.1533993185  -1.197116852  -0.5556653738  0.5950095654  0.1815651208  -0.7864570022  -0.2508270144  -0.1752989292  -1.218428373  -0.9494314194  0.3800214231  -0.54158324  -0.6793787479  ],[-0.5651695132  0.6269614697  -0.0437925756  -0.8081712127  -0.6715630889  0.8655151129  -0.02510516159  0.2541104853  1.360497952  0.3317669034  -0.1450906247  0.2025476098  0.04305900633  0.9488916993  1.255209684  1.306456208  ],[0.7420192957  -0.47269243  0.4043507576  1.339999795  0.170273751  0.1731823087  -0.1873986721  0.1415208727  0.2325250059  0.4222685099  1.07952106  -0.01893539913  0.03071413003  0.04610106722  0.2189565152  0.6883646846  ]
1006,[-1.176590204  -1.559154272  -2.317494154  -1.702493668  -2.855251074  1.788235903  0.6083451509  -0.1393336207  0.3595654964  -0.7090156674  -1.033982992  -1.833575964  -1.881285191  1.901351094  1.403241754  1.549162388  ],[-0.6364604831  -1.417864561  -1.133526683  -0.09742832184  -1.156639576  0.4818529487  0.5095909834  0.3758144081  -0.07769031823  0.01718848385  0.3141551018  -0.4820463061  0.2549377978  0.9704483747  0.9874830842  0.4532686174  ],[2.106562138  1.443388581  2.311139584  2.849584341  2.514017344  2.324617386  2.645353556  2.765248537  1.479333043  2.534148216  2.940229416  2.769212008  3.533416033  1.744706154  0.9036406875  0.4917235672  ],[-0.4232361913  0.5357893109  0.1576483995  -0.7042991519  0.05182334036  0.5651168227  0.6276556849  0.5049399734  0.4022741318  0.4267571867  0.329020381  -0.09182366729  -0.2625515163  1.316524625  1.140888095  0.9658463597  ]
1009,[-0.3185095787  0.004398392979  0.1790310293  0.6147592068  0.1469330639  -1.085514903  0.1842526793  1.250551939  -0.3253219128  0.7484058738  1.577177167  1.211106062  0.8104322553  0.4426178932  1.135930181  1.048233628  ],[-1.633369207  -0.1738182008  -0.8069270849  -0.5637459159  -0.3666957021  -1.106785536  -1.776208043  -1.171170115  -0.443662554  -0.5944385529  -0.2135467827  0.359609127  0.7846214175  -1.033055425  0.4256908596  0.5845762491  ],[-1.652787328  -0.6560975313  -1.831084728  -1.73416853  -0.9727576971  -0.7334482074  -1.511531472  -1.87573874  0.2007376105  -0.7256337404  -1.216157556  -0.2931903303  -0.4506574273  -0.7005848289  0.05074772611  -0.7355366349  ],[-0.3647187054  -0.9189313054  -1.223871589  -0.05913087353  -0.9812836647  -0.9646734595  -0.8472996354  -0.1904913336  -1.277158141  -1.363073707  -0.09863568097  -0.03020821698  0.3572102487  -0.05750333518  -0.1132741496  0.03748714179  ]
1010,[-0.5678794384  -1.444256663  -1.104814053  -0.8665134311  -0.8366593719  -0.0627560243  0.8037674427  1.357216239  -0.6349202991  0.1334761381  1.235544443  0.1998087615  0.8761863708  0.4455598891  0.1199568212  0.7274913192  ],[0.9948571324  -0.5393041968  0.2922879457  0.914637804  0.04708342627  0.3885308504  1.517752767  1.834399104  0.0005988955381  0.9465105534  1.668073177  0.9129861593  1.47740829  1.695477366  1.480882049  1.612808108  ],[0.0129886223  -0.2399718612  -0.05256760865  -0.8096705079  -0.5634974241  0.7247850299  1.28362143  1.105648041  0.5348746777  0.637601912  0.5119112134  0.08194366843  -0.2911619246  0.7944427729  0.6668570638  0.8853215575  ],[1.395441055  -0.285223335  0.5321034193  0.2758216262  -0.08310614526  -0.5697897077  -0.112711288  -0.4960878491  -0.6790914536  -0.5750876069  -0.2318476588  -0.9287946224  -0.4326069057  0.1177022681  -0.1851114035  0.01558439899  ]
1012,[1.820166111  1.298843145  1.292167544  1.191711545  0.3969290257  1.225244999  1.817731977  1.497000217  1.20450294  1.422475934  0.9094286561  0.8550243378  0.6954744458  1.821731448  1.248018146  0.5710821748  ],[-0.2676135004  0.5600640178  0.4731735289  -0.08082908392  0.5503300428  0.1996502727  -0.09694299102  -0.5930227637  0.3188590705  -0.04141474143  -0.7271161079  -0.1532134563  -0.5336709619  0.2882249653  0.2763445973  -0.666256249  ],[1.066927195  -1.093374014  0.3919871449  1.192448378  -0.8479235768  0.114477776  0.5114386678  0.7776372433  0.002452376299  0.6551367044  1.485441446  -0.09226273745  0.1495358646  -0.8134579659  0.2351596504  1.349825382  ],[-0.6206118464  0.1465818137  -0.01672900654  -0.2852958441  -0.06259296834  0.3666534722  -0.5880635977  -0.9607614875  -0.3580110669  -0.3179989159  -0.400975585  -0.3253821731  -0.5057423711  0.1046121046  0.07380402088  0.1227661446  ]
1013,[-0.7436711192  0.05268028751  0.4993609488  1.559878826  2.398588657  -1.365617633  -0.9318440557  -0.3064959645  -0.4743383229  -0.0966276899  0.49833709  1.284297705  1.680150867  -0.9543930292  -1.0762012  -0.931515038  ],[1.882998347  1.792082548  1.913065553  1.979725957  1.390072823  1.998951077  2.213135004  1.705249786  2.143269062  1.967551351  1.605880976  1.408357263  1.082124114  1.92676878  1.858795881  0.3345109224  ],[-0.3955409825  0.371580869  -0.1787732393  0.68095994  0.1428850591  -0.1274494082  -0.175427705  0.4764056802  -0.4478930831  -0.8742799163  0.6216343045  -1.254143834  0.9995439649  0.1390361637  -0.4135209322  0.531829536  ],[1.784933686  1.103762627  1.811838865  1.000519753  0.6260673404  0.6294585466  1.03371489  0.7160868049  0.5103178024  0.8724113107  0.8998218775  -0.2656521499  -0.2179819643  -0.1492480189  0.4144640863  1.15358758  ]
1015,[-0.8671218157  -0.7754095197  -1.099249363  -2.366599321  -1.079905033  -1.842484117  -1.897016168  -2.703394651  -0.8575054407  -1.231910586  -2.737833738  -0.5748435855  -1.568145156  -1.499926925  -0.6749677062  -2.040454865  ],[-1.195558548  -1.020531058  -1.896805525  -2.155529976  -0.7193034291  -2.429579258  -2.665229797  -2.127668381  -2.755254269  -3.298767805  -2.98937273  -2.101526737  -2.136312008  -2.664803743  -3.556474924  -3.087016344  ],[-2.286841393  -1.097852945  -1.310341597  -1.498786211  0.4207323194  -1.004009247  -1.129739761  -1.036606073  -0.2063259929  -0.5865398049  -0.8261271119  0.6245678067  0.5700807571  0.03507770598  -0.4229925275  -0.09391040355  ],[1.174591064  1.337140083  0.522624433  1.181527257  0.5426015854  1.081955791  1.093974113  1.20329082  1.214598656  0.7500222921  0.55933851  0.5869354606  0.7164607048  -0.05228555948  0.1506169736  0.005695717409  ]
1016,[-0.2556872964  -0.01128103212  0.006589216646  0.287777096  0.0941336602  -1.569590688  -1.184476018  -0.872985065  -1.469708562  -0.9917223454  -0.2226866931  -0.3033318818  0.01089898683  -1.673383355  -1.127187371  -0.4175437987  ],[-1.773006916  -1.853486896  -1.760581851  -2.084997177  -1.605952501  -1.899005055  -2.49260354  -1.993970871  -1.223236322  -1.371634483  -1.703670382  -1.418253422  -1.899740458  -2.672243595  -1.444527864  -2.061802864  ],[-1.519806743  -0.8176160455  -0.7080552578  0.154630512  0.4329085946  -1.514540315  -2.351486683  -0.2002984434  -0.7157019973  -0.5717708468  0.7134346366  0.3146100938  0.5682380795  -2.994379759  -0.5549262166  0.6795329452  ],[-0.03170498461  -0.07130613178  0.385624975  0.7530522943  0.6181322932  -0.3356353641  0.3200824857  0.5698469877  -0.6478093863  0.01392881945  0.1270785332  -0.1371124834  0.1174369007  -0.3883537054  -0.9930435419  -0.6912521124  ]
1019,[1.934205532  1.282998919  2.402579069  2.581370354  2.904433727  1.294561267  1.891158223  2.468645811  1.416420817  2.507884741  3.499574661  3.109425545  3.534863472  2.423686981  2.557830334  3.307734489  ],[-0.7460263371  -0.8198211193  -0.6635622382  -0.3558128178  -0.7482636571  -0.009378211573  -0.4349125922  -0.8337731957  -0.2119784057  -0.5099221468  -0.801052928  -0.6723690033  -0.5831690431  -0.4435964823  -0.6662434936  -0.9807203412  ],[2.208387136  0.6602858901  1.91155684  1.795871735  1.736153483  -0.2721426189  1.204825163  2.242457151  -0.3178532124  0.8311722875  1.986688733  0.6252042651  1.54970777  0.9888229966  0.08310148865  1.121404409  ],[0.4695250988  0.5211231112  0.6700226665  0.3125499487  0.6062756777  0.3201879263  -0.0677241683  -0.3832740784  0.5298904181  0.6777993441  0.3005819917  0.723978579  0.2831588089  -0.5510745645  0.04258207604  -0.1455446184  ]
1021,[2.082530737  2.254707813  1.502779961  1.085183144  0.5131760836  1.98129034  1.641598463  1.254841208  2.205643892  1.704334974  1.128503799  1.344600797  1.144156098  1.004256248  1.587540269  1.266334891  ],[-0.7936291099  -0.6209471226  -0.3817964196  0.1594096869  -0.1396891773  -0.01523222122  -0.1176956594  0.164463833  0.01084484346  -0.07248978317  0.2557063401  -0.02157498896  0.2052146941  -0.06746055931  -0.2783031166  0.1986342818  ],[-0.1196047068  -0.07835901529  0.06620781124  0.3309568763  0.04503308982  0.2142330408  -0.2875035405  -0.5714627504  -0.01856491715  -0.3056289852  -0.7514929175  -0.485083133  -0.7086357474  -1.279043794  -1.193316579  -1.697816014  ],[-0.5940868258  -0.1713101119  -1.020800233  -1.146730423  -1.253154159  -0.7850429416  -0.9171977639  -0.3782247305  -0.2757078707  -0.4588721991  -0.04471630231  -0.1681418121  0.1091672853  -0.6385067105  -1.188063502  -0.6976472139  ]
1242,[1.60965097  2.188223362  1.816367984  2.464004517  2.301902294  3.04995203  2.551114559  1.814167142  2.638324022  2.160314322  2.263262749  2.22896409  2.679734707  3.426654816  2.753236532  2.017109871  ],[1.560699463  2.189715147  1.65779984  1.113394499  1.384702206  2.609458923  1.860184193  1.671384335  2.073726177  1.469495535  1.756800532  2.077918768  2.376509428  2.217446566  1.750215769  2.214481831  ],[-0.006541647017  0.6143904328  0.5178080201  -0.3223229349  1.011860609  0.6897090077  0.1825530827  -0.8333819509  0.7283965349  0.06809242815  -0.3323954642  0.484590292  0.5105419159  -0.1491069943  -0.08828786761  -0.03982212022  ],[-0.5817292333  0.5767714977  0.3280785978  -0.1820183098  0.7174485922  1.593930125  -0.1697360724  -1.191759467  1.686364293  0.7707690597  0.1145879701  0.8828654289  0.2765102088  -0.1733098626  0.3815909326  0.5223212838  ]
1243,[-2.46091032  -1.891752362  -2.372061968  -2.810551405  -1.851870537  -0.7615531683  -1.670850635  -0.9899181724  -0.9160295129  -1.534845114  -1.928068995  -1.011299968  -2.124149084  -0.9335224032  -1.592820525  -1.208706498  ],[-1.987758398  -1.742275476  -1.934651494  -1.292250276  -1.81072104  -0.864163816  -2.043725729  -1.477253795  -1.920888543  -2.200903654  -1.654866219  -1.765086293  -1.00381875  -0.7447832227  -1.762560606  -2.230146646  ],[-1.578706145  0.6311986446  -0.2525655329  -1.505178452  0.5712279677  0.2499576658  -2.116359234  -4.300320148  0.5154989362  -1.498604774  -2.647369862  -0.1270688325  -0.792738378  -2.146469593  -0.6926731467  -2.162175894  ],[-0.05757802725  0.4289786518  -0.670853734  -1.688527942  -0.4710260928  0.3597848713  -0.969209671  -1.720586419  -0.712538898  -1.853398561  -2.028962135  -1.11307466  -0.3555182815  -0.6947725415  -0.3373101354  -0.7107692361  ]
1244,[-0.768791616  0.2220503241  -0.8535218835  -1.600706339  -0.5455222726  -0.6380208731  -0.9087797999  -1.358234167  -0.3917097747  -1.006341815  -1.975275278  -0.53263551  -1.700376034  -0.1117467582  -0.2395365536  -1.0524019  ],[1.254002929  1.244562984  1.412273765  1.769849777  0.5484600663  -0.6993342042  -0.4608071446  0.4265591502  -0.04758411273  -0.27449736  0.1087240204  -0.3613853455  -0.4948329329  -0.2966511548  0.1424268931  -0.0297913868  ],[0.8077825308  -0.2229187489  -0.1907402277  -0.8524557948  -0.4532482922  1.035561919  1.954994321  1.236405134  0.6768737435  1.090325952  0.5731149316  0.5489049554  0.8573688269  0.9982258081  1.059835434  0.7833948135  ],[-0.4904319048  0.471904248  0.1625713706  0.2046590298  0.73159796  0.2275974303  0.2770655751  0.1706489027  0.5458296537  0.9755393267  1.425687551  1.611855268  2.280406237  0.9476640821  1.797368884  1.676182032  ]
1248,[-0.09907389432  -0.6633139253  -0.08282401413  0.3864552975  -0.1669720709  0.4808919728  0.2457830608  0.5800366402  0.4943058789  0.7665497065  1.376609564  0.8727254272  1.984629393  1.173520923  1.750042081  2.609878063  ],[-3.078015804  -1.635381341  -2.383860826  -1.922192693  -2.042700052  -2.95759511  -3.093781233  -2.101856232  -2.26837635  -2.302476645  -0.8748444915  -1.622174621  -1.059825301  -1.663372517  -1.064421535  -0.5513245463  ],[1.51236999  2.40472579  2.482379436  1.257641792  1.944611549  1.849106789  1.694880128  1.833824515  2.103783846  1.753570676  0.76970011  0.4428584278  0.5597066283  1.062353373  1.403167844  1.491617203  ],[1.682848454  1.927897096  0.8899659514  0.6530442238  0.8525193334  1.62299335  1.676971674  1.36845994  1.604807019  1.076254606  1.01388216  0.907664299  1.145717859  2.492365837  2.38246727  2.220159531  ]
1249,[0.1797419488  0.365180105  0.07842684537  -0.04709462821  0.7907475233  1.273335218  0.5612389445  -0.283834517  1.260897756  1.124940515  0.5108632445  1.147047162  0.7836356759  0.3204292655  0.7711020112  0.2115922868  ],[-1.20034647  0.1467435807  -1.376320601  -1.694829106  -0.8843092918  0.3246503472  -0.5151429176  -1.293141842  0.08798853308  -0.7589148283  -1.432049513  -0.5197669864  -0.640861392  -0.6309193969  -1.002536178  -1.130113006  ],[1.346595645  1.905190825  0.9053525925  0.805750072  0.5198412538  0.3089203238  -0.9327263236  -0.1569271833  -0.05183603615  -0.7991380095  -0.5499774218  0.2938400209  -0.3178374171  -2.228198528  -1.545596957  -1.323379278  ],[3.387065649  3.551312447  3.448637962  2.640744686  2.07685113  1.84265542  2.63960433  2.652442217  2.618565321  2.317801476  2.135072708  2.067281008  1.568326473  0.07573439181  0.7637677789  1.495163321  ]
1251,[2.04581666  1.637560606  2.101108313  1.807014942  2.194980383  1.938064694  2.245754957  1.816634059  1.341120958  1.872696877  1.64253068  1.584338427  1.412203312  2.60721755  2.264812946  2.34103179  ],[1.030718207  1.87343204  1.552773118  1.807930708  1.847113013  0.7339038849  0.1848284602  0.3948109448  1.298750043  1.114900589  1.572177529  1.728191853  1.949185848  -0.1273648441  1.105331898  0.8691916466  ],[1.193063736  1.576652169  1.734503269  1.788254023  1.708923817  1.512393117  1.465231895  2.061262846  1.844408631  2.226852894  2.082737684  2.049726009  1.688894272  0.601993382  0.7058920264  0.1148621961  ],[1.55609405  1.31000042  1.188957095  0.4822103381  1.352673054  2.191177368  1.949441195  1.035485744  1.942132115  1.710965395  0.7908112407  1.951680422  0.9617081881  2.436077833  2.239781141  1.836642385  ]
1255,[1.147788763  0.5494895577  1.184306383  1.825990796  1.521820307  1.723719716  1.578704715  0.9082173705  0.1122112945  0.3943138719  0.8279135823  0.1261390597  0.8798316121  0.7312154174  0.09072504938  -0.1229243129  ],[0.1790837049  -0.03588797525  0.08183439821  0.757047534  0.08162839711  0.4742171466  0.6942056417  0.9520542026  0.1230566204  0.4155878723  0.6867290139  0.3952596784  1.151604295  0.8499327302  0.6314080954  1.149426937  ],[-0.1030541137  1.191710591  0.5066890717  -0.3229698539  0.9627990127  0.7102457881  0.3826200664  -0.221755892  2.071284771  1.199277997  -1.116575837  0.7168238759  -1.408870816  -0.3777655363  0.03127970174  -0.8704664111  ],[0.588128984  0.3246182203  0.7013815045  0.7850261331  0.4951329529  0.6649599075  0.8049719334  0.5573348403  0.7995359302  1.002880096  0.9800594449  0.9082453847  1.454007506  0.968051672  1.072213411  0.7690398693  ]
1276,[-1.530631661  -2.50230813  -1.425515413  -0.1039824188  -2.171361923  -1.6393013  -0.811162591  -0.1966662556  -1.967902899  -1.355264902  -0.4217996299  -1.576454282  -0.8235254288  -1.118259907  -1.568818688  -0.9498808384  ],[0.4402033389  0.1746059656  0.5751346946  0.5259250998  0.1143170968  1.199296594  1.308208704  0.8954662085  1.086966395  1.021609306  0.6196495891  0.7430279255  0.2434263676  1.703493953  1.26990366  0.7248203754  ],[1.000716567  -0.0555511117  0.4389238656  0.2495756894  -0.1488478631  -0.6882523894  -0.6703488827  -0.2871801853  -0.9518123269  -0.8159649968  -0.4042146802  -1.06383431  -0.4236720502  -0.9751878381  -1.145039678  -1.011410594  ],[-0.7468239665  -0.04314288124  -0.06879546493  -0.6970188022  -0.3506368697  -1.59835732  -1.414187431  -1.490178943  -0.5955268145  -0.8251883984  -1.224873781  -0.6896425486  -0.4067470729  -1.765913367  -1.228375673  -0.9733368754  ]
1286,[-1.062313557  -1.516141176  -1.49420929  -1.045544505  -0.3891786933  -1.41176939  -1.243810415  -0.9645529985  -1.557354689  -1.324138522  -1.277015567  -0.4943529069  -0.4313500822  -0.946410358  -1.051911354  -1.137129307  ],[-1.167348504  -0.3329697251  -0.7020103931  -1.041598916  -0.5427697301  -0.1416095048  -0.8658198118  -1.456149936  -0.6491468549  -1.41489327  -1.911786318  -1.22946918  -1.258448958  -0.6646858454  -1.284705877  -1.96032393  ],[1.081523657  0.4935338795  0.6275214553  1.945315957  1.552339554  2.932850361  1.442721605  0.9245105982  1.97493422  1.740134358  1.995182157  1.757287979  1.899637461  1.474915504  1.418720126  0.4453848302  ],[-1.249290466  -1.369253159  -1.051513195  -0.7325334549  0.004959048703  -0.7118478417  -0.7470541  -1.506052136  -1.212566972  -0.9056079388  -1.463959098  -0.3975091875  -0.9049681425  -0.448620975  -0.9443304539  -1.442302704  ]
