subject_id,str_raw,comp_raw,soc_raw,door_raw,str_diff,comp_diff,soc_diff,door_diff
1001,"[-2.309169054, -5.055059433, -10.01720047, 6.520560741, 23.04594612, 20.02099609, 7.378359318, -12.31033039, 2.40222764, -0.711912334, 1.27790463, 24.70085335, 28.03347969, 5.632884502, 4.541491985, -19.69818306]","[15.11522961, -39.87341309, -9.40253067, 4.58054924, -40.86327362, -20.7643528, 18.34619331, 4.815077305, -32.72341537, -8.942170143, -5.067683697, -54.09542084, -29.52749634, 10.34100151, -17.95296478, -18.27102852]","[-62.32316589, 88.98451996, -5.342015266, -85.33560944, -87.93122101, 122.6485901, -3.115936518, 29.64523315, 231.9772339, 48.88540268, -17.81840515, 34.09223175, 5.532510281, 94.40070343, 151.2901001, 133.8837128]","[91.0426178, -59.47687531, 48.36783218, 147.3995667, 19.18972969, 22.79461288, -18.61393547, 12.49608803, 32.87992477, 50.79079437, 103.4597244, -2.787334442, 3.121935129, 4.0279212, 26.10210037, 67.703125]","[-0.34041283 -0.389251   -0.4775072  -0.18336803  0.11055103  0.05674954
 -0.1681113  -0.51829261 -0.25661634 -0.31200416 -0.27661345  0.13998507
  0.19925887 -0.19915616 -0.21856757 -0.64969231]","[-0.030504   -1.00852719 -0.46657474 -0.2178729  -1.02613277 -0.66865512
  0.02696164 -0.21370161 -0.88135796 -0.45838681 -0.38947553 -1.26147858
 -0.82451562 -0.115418   -0.61865201 -0.62430907]","[-1.40781654  1.28332875 -0.39435477 -1.81711385 -1.86327917  1.88207496
 -0.35476193  0.22792538  3.82658466  0.57012935 -0.61625875  0.3070193
 -0.20094141  1.37966051  2.39149035  2.08190187]","[ 1.31993389 -1.35719266  0.56092389  2.32229366  0.0419647   0.10608084
 -0.63040798 -0.07708782  0.28545732  0.60401848  1.54078347 -0.34891744
 -0.24381569 -0.2277019   0.16490753  0.90481971]"
1006,"[-30.64070129, -47.58298111, -74.93319702, -41.32107544, -89.97773743, 36.2002449, 11.75888348, -2.411297083, 9.310082436, -16.94674492, -18.57187271, -45.11706161, -30.19433022, 27.57142448, 24.45868492, 22.16547585]","[-17.73518753, -45.91164017, -38.74034119, -2.398382902, -37.81933212, 10.0701189, 10.04380894, 6.525572777, -2.057180405, 0.4196327925, 5.684660435, -12.11036396, 4.171545029, 13.65065098, 16.60581589, 6.216062069]","[169.7521362, 118.0851669, 216.2252808, 202.0080872, 214.0329742, 132.0177917, 136.5434418, 146.2166901, 112.9220428, 156.4818268, 143.9082794, 168.2857361, 148.0302429, 68.59922028, 41.81506729, 20.31211281]","[-40.68862152, 53.38856506, 17.08793259, -55.96221161, 5.292135239, 38.94007492, 37.05211639, 28.09473801, 34.74264908, 29.80521393, 18.49451065, -5.962654114, -11.99513054, 58.21040726, 60.31431961, 43.1688385]","[-0.89431687 -1.12987811 -1.5101487  -1.04281413 -1.71932424  0.035023
 -0.30480361 -0.50182227 -0.33885113 -0.70391951 -0.72651489 -1.09559258
 -0.88811064 -0.08494997 -0.12822873 -0.16011294]","[-0.71488182 -1.1066402  -1.00693225 -0.50164271 -0.99412677 -0.32828377
 -0.32864958 -0.37756625 -0.49689872 -0.46246172 -0.38925809 -0.63667568
 -0.41029607 -0.27850094 -0.23741306 -0.38186961]","[ 1.89189523  1.17353056  2.53804626  2.34037394  2.50756497  1.3672463
  1.43016981  1.56466425  1.10174377  1.70738815  1.53256868  1.87150677
  1.58987944  0.48549028  0.11309009 -0.18588164]","[-1.03402065  0.27400512 -0.23070983 -1.24638085 -0.39471566  0.07311691
  0.0468672  -0.07767395  0.01475695 -0.05389192 -0.21115312 -0.55119945
 -0.6350735   0.34104681  0.37029908  0.13191259]"
1009,"[-9.904271126, 0.2263400257, 5.182331562, 11.72272873, 3.341360807, -55.76201248, 5.419911861, 23.36880875, -15.71366501, 20.02924728, 30.12334251, 24.71743774, 15.73178768, 13.22172642, 30.16497803, 21.07056427]","[-36.18261719, -6.346672535, -16.63495636, -7.730811596, -5.973660469, -40.79928207, -37.56955338, -15.77968979, -15.39312363, -11.41159534, -2.939466715, 5.267500401, 11.08062458, -22.41117287, 8.166520119, 8.617071152]","[-130.8116913, -93.93344116, -135.0018158, -90.65394592, -61.29138947, -109.1370087, -110.8984756, -85.88573456, 26.6265564, -47.59246445, -56.17523956, -16.74170876, -21.23768234, -43.59626007, 2.832172871, -32.7646637]","[-25.85092735, -156.313858, -91.67800903, -3.116633415, -57.39858627, -147.9700928, -60.56651688, -9.583687782, -188.330246, -91.009552, -5.538433075, -1.709083915, 20.18196869, -3.95053792, -6.630499363, 1.805156231]","[ 0.39207991  0.59332974  0.69178308  0.82171146  0.65521125 -0.51890788
  0.69650274  1.05306687  0.27667329  0.98672475  1.18724918  1.07985808
  0.90135349  0.85148983  1.18807629  1.00741105]","[-0.12995305  0.46275345  0.25837136  0.43525681  0.47016352 -0.22166549
 -0.15750525  0.27536167  0.28304101  0.36213613  0.53043935  0.69347501
  0.80895573  0.14362383  0.75106553  0.76001596]","[-2.00980862 -1.27720308 -2.09304761 -1.21205421 -0.62875181 -1.57922982
 -1.61422227 -1.11733122  1.11778372 -0.35661557 -0.52711685  0.25625067
  0.16693582 -0.2772289   0.64509596 -0.06205363]","[ 0.07529132 -2.51642237 -1.23239775  0.52691985 -0.55141926 -2.35066915
 -0.61435184  0.39844846 -3.1524445  -1.2191185   0.47880954  0.55488154
  0.98975864  0.5103539   0.45711508  0.62469375]"
1010,"[-16.58464241, -47.89735413, -31.14310455, -18.23292732, -24.54807663, -2.13340354, 22.40760994, 28.22572899, -20.54964066, 3.775874376, 25.79537964, 5.560204029, 18.14577484, 10.98632145, 3.368736506, 16.33478355]","[21.850317, -13.45201969, 6.196971416, 14.48173428, 1.039435863, 9.958293915, 31.93199158, 28.79039574, 0.01461502258, 20.20135689, 26.26735687, 19.1649189, 23.0494709, 31.51833153, 31.3957901, 27.32972145]","[1.611519098, -35.90989685, -5.767394066, -77.10661316, -65.99477386, 93.46279907, 143.7012939, 100.9076004, 68.03652954, 67.98497009, 44.42494583, 8.379869461, -26.33149147, 101.3356552, 82.80955505, 104.6374664]","[169.8612671, -36.44792175, 52.61982727, 20.45181656, -8.225737572, -60.32781982, -9.74995327, -32.92020416, -80.99034882, -55.70204163, -18.32161713, -84.1373291, -34.10136795, 10.79202271, -19.19379425, 1.313089371]","[-0.5487246  -1.18224873 -0.84327389 -0.58207298 -0.70984216 -0.25634467
  0.24017331  0.35788648 -0.62894512 -0.13678715  0.30871524 -0.10068629
  0.15394713  0.00909585 -0.14502443  0.11730685]","[ 0.22889806 -0.48534484 -0.0878031   0.07981564 -0.19215124 -0.01170338
  0.43287222  0.36931092 -0.21288559  0.19553602  0.31826437  0.17456663
  0.25315955  0.42450298  0.4220237   0.33975831]","[-0.18057675 -0.93971645 -0.32986818 -1.77321545 -1.54839882  1.67777402
  2.69420783  1.82839852  1.1633454   1.16230224  0.68563181 -0.04363833
 -0.74592451  1.83705899  1.46223577  1.9038618 ]","[ 3.22348087 -0.95060186  0.85143205  0.20060336 -0.37960581 -1.43374403
 -0.410444   -0.87922847 -1.85179185 -1.3401545  -0.58386737 -1.91546209
 -0.90312598  0.00516476 -0.60151341 -0.18661463]"
1012,"[39.54040527, 33.78029251, 29.00566101, 21.24464417, 7.572542191, 35.07279205, 41.76257706, 28.46215248, 30.32794762, 31.8100605, 18.51626015, 19.34700394, 13.9151392, 36.37772369, 31.84940529, 13.58698654]","[-4.842911243, 12.13227558, 8.847144127, -1.199174166, 8.715909958, 4.739249229, -1.849196076, -9.373317719, 6.653475761, -0.7697687745, -12.31172657, -2.876353741, -8.860075951, 4.762858868, 5.848366261, -13.12400818]","[56.89078903, -77.0921402, 23.12733841, 53.38200378, -40.78633118, 7.952465534, 28.56229973, 35.22645187, 0.1358258277, 36.5107193, 72.25144958, -4.632893562, 7.488516331, -32.97904968, 13.18555164, 78.6468277]","[-52.87870026, 11.78850842, -1.309176564, -16.66350174, -3.698976517, 33.23263168, -45.13669205, -61.86665344, -23.73279953, -23.91583824, -28.17253494, -24.151371, -34.26534653, 6.440834522, 6.944962978, 10.90237904]","[1.1077514  0.91240922 0.75048758 0.48728893 0.02362819 0.95624164
 1.18311171 0.73205563 0.79533017 0.84559293 0.39476149 0.42293443
 0.2387241  1.00049567 0.84692722 0.22759549]","[-0.39741595  0.17826201  0.06685365 -0.27384623  0.06240311 -0.07245702
 -0.29589036 -0.55105521 -0.00754003 -0.25928384 -0.6507052  -0.33072426
 -0.53364969 -0.07165635 -0.03484363 -0.67825203]","[ 1.69615337 -2.84759743  0.55113657  1.57716026 -1.61636185  0.03651249
  0.73545191  0.96145269 -0.22857249  1.00500594  2.21707805 -0.39029364
  0.02077863 -1.35159423  0.21398166  2.43396392]","[-2.02644926  0.16660386 -0.27757673 -0.79828655 -0.35862179  0.89383645
 -1.76389524 -2.33125689 -1.038027   -1.04423437 -1.18859134 -1.05222197
 -1.3952163  -0.01475131  0.00234515  0.13655264]"
1013,"[-13.31705952, 2.238639355, 10.85079384, 15.9593792, 42.89447021, -49.90524292, -19.67607307, -2.905597448, -19.93129158, -2.348687887, 4.861842155, 24.43953133, 16.62818527, -17.96134377, -22.58477974, -8.734441757]","[61.83950043, 139.7007904, 76.45941162, 37.14288712, 45.20449829, 136.2328644, 87.32878876, 29.7579155, 167.2949982, 88.9929657, 28.95820045, 49.05633163, 19.49392319, 67.94130707, 72.56443024, 5.799805641]","[-20.54903221, 53.52884293, -10.51214981, 22.2256546, 6.827913284, -22.21790695, -12.25736713, 14.78013515, -60.53604126, -62.18703842, 19.52603531, -62.77054596, 31.24051094, 7.85117197, -27.10645485, 18.65327835]","[95.1887207, 180.5412292, 122.7969742, 30.58852386, 32.80887985, 102.8912354, 74.34480286, 22.07163811, 75.41286469, 65.05012512, 28.9118309, -13.93150711, -7.436955452, -9.464187622, 26.8584137, 39.35707092]","[-0.81192471 -0.51132711 -0.34490624 -0.24618817  0.27430427 -1.51895306
 -0.93480599 -0.6107341  -0.93973782 -0.59997241 -0.46063646 -0.08231811
 -0.2332642  -0.90167064 -0.9910137  -0.72337042]","[ 0.64039715  2.14498509  0.92291163  0.16316095  0.31894314  2.07797104
  1.13295097  0.0204541   2.67821427  1.16510945  0.00500044  0.39337579
 -0.17788681  0.75830818  0.84764519 -0.4425113 ]","[-0.95167501  0.47980239 -0.75772277 -0.12509896 -0.4226442  -0.98392427
 -0.79144726 -0.26897583 -1.72438211 -1.7562859  -0.17726628 -1.76756158
  0.0491037  -0.40287079 -1.07839034 -0.19413139]","[ 1.28483593  2.93418382  1.81833653  0.03650474  0.07941079  1.43367896
  0.88204903 -0.12807517  0.90268821  0.70243911  0.0041044  -0.82379827
 -0.69829785 -0.73747199 -0.03557574  0.20594773]"
1015,"[-21.09749603, -19.98619843, -24.55539322, -39.17158127, -32.77107239, -60.20110703, -46.51636887, -45.72095108, -24.55147743, -30.66278076, -50.17676544, -17.34955406, -28.06533051, -35.8067894, -18.83679581, -38.04929733]","[-21.10846901, -19.06533623, -30.74812889, -25.83377075, -15.79805183, -57.7803688, -47.61782455, -26.11142921, -57.48336411, -59.91393661, -39.85047913, -46.09830856, -27.76717567, -46.38789368, -72.67653656, -41.9937973]","[-197.8175201, -94.52000427, -97.91644287, -71.35817719, 48.44269943, -110.3518066, -85.49055481, -43.18373489, -16.62194443, -39.85587692, -37.80170059, 62.6505928, 25.278862, 2.267719746, -33.38420105, -4.152332306]","[82.03038025, 102.541214, 36.46626282, 59.11215973, 65.30301666, 103.4326859, 78.713974, 59.46290207, 105.464447, 54.11279297, 28.02634811, 65.93228149, 33.47849655, -3.536311388, 12.79468727, 0.3101611137]","[-0.10419151 -0.0841805  -0.16645748 -0.42964956 -0.3143963  -0.80832589
 -0.56190633 -0.54758333 -0.16638697 -0.27643253 -0.62781868 -0.03670274
 -0.22966053 -0.36906012 -0.06348334 -0.40944071]","[-0.1043891  -0.06759864 -0.27796939 -0.18947709 -0.00876501 -0.76473592
 -0.58174012 -0.19447685 -0.75938779 -0.80315484 -0.44187439 -0.55437836
 -0.22429169 -0.55959289 -1.03296956 -0.48046889]","[-3.28636932 -1.42630245 -1.48746174 -1.00923001  1.14801105 -1.71138395
 -1.26371016 -0.50189596 -0.02360075 -0.44197159 -0.40498227  1.403851
  0.7309024   0.31654333 -0.32543684  0.20093816]","[1.75282068 2.12215698 0.93235269 1.34013483 1.4516129  2.13820961
 1.69310252 1.34645061 2.17479531 1.25011179 0.78037608 1.46294401
 0.87855231 0.21203078 0.50610126 0.28129379]"
1016,"[-5.118400574, -0.3799778223, 0.1515062153, 4.230873585, 2.256474733, -47.19371414, -22.18913269, -10.18084812, -44.03840256, -19.86006927, -3.222503424, -6.298111439, 0.1805569679, -32.91632462, -24.28752708, -6.74672842]","[-32.20946884, -56.5957222, -36.71549988, -27.83480644, -34.96171951, -51.82762527, -42.44801331, -21.1764431, -33.20684433, -24.91586113, -22.40529251, -26.85171509, -28.72065353, -47.85115433, -28.25068665, -30.38937187]","[-95.10681152, -75.75492859, -40.20914459, 5.458715916, 22.947258, -133.2275391, -114.1543045, -5.885859489, -65.68661499, -27.12905884, 24.33104706, 13.67625237, 20.47035599, -157.772995, -28.18519211, 24.58485794]","[-1.898074389, -8.070063591, 23.48126602, 31.55213165, 36.75056076, -33.77983475, 15.88354874, 18.65520668, -59.55539703, 0.6539575458, 4.599027157, -6.639958858, 4.460972309, -17.77337456, -44.42415619, -22.68432236]","[ 0.48007928  0.60951096  0.62402863  0.73545799  0.68152659 -0.66922271
  0.01378622  0.34179674 -0.58303427  0.07740541  0.53186637  0.44785506
  0.62482216 -0.2792308  -0.04353216  0.43560093]","[-0.25992278 -0.92604187 -0.38300661 -0.14042734 -0.33510148 -0.79579963
 -0.53959223  0.0414482  -0.28716645 -0.06069532  0.00788174 -0.11357386
 -0.16462457 -0.68718092 -0.15178726 -0.21020619]","[-1.97798582 -1.44938233 -0.47843674  0.76899693  1.24670261 -3.0192669
 -2.49827479  0.45911587 -1.17436281 -0.1211496   1.2845013   0.99346183
  1.17904516 -3.68973467 -0.14999825  1.29143423]","[ 5.68043618e-01  3.99453562e-01  1.26128923e+00  1.48174776e+00
  1.62374468e+00 -3.02817881e-01  1.05375491e+00  1.12946372e+00
 -1.00688643e+00  6.37753268e-01  7.45514232e-01  4.38517376e-01
  7.41743215e-01  1.34404210e-01 -5.93571265e-01  2.59943099e-04]"
1019,"[45.41038895, 33.95594788, 54.10824966, 52.32507706, 65.72509003, 48.82518005, 56.20626831, 51.14066696, 56.75420761, 76.56687164, 72.79079437, 89.30052185, 76.74359894, 65.44178772, 91.24731445, 82.46315765]","[-14.72168159, -18.25300789, -12.5239048, -6.029697418, -14.12875652, -0.29706043, -10.83415699, -14.47280693, -7.11952877, -13.01011658, -13.88725662, -16.07727242, -10.52403355, -10.00454617, -19.8114872, -20.36040688]","[142.2802277, 45.06497955, 119.8753052, 105.1169815, 120.9313049, -26.49009895, 85.88379669, 123.8584976, -32.02375031, 62.94533539, 123.0593643, 46.8911171, 96.25805664, 69.66326141, 7.916776657, 69.29104614]","[32.41844559, 38.7773819, 39.56011963, 18.05133629, 35.07327652, 32.86145401, -5.065438747, -21.57645607, 54.99391174, 52.72526932, 18.84314346, 59.05016708, 19.27690697, -39.51158905, 3.806979418, -10.14700794]","[ 0.2041326  -0.04542138  0.39362992  0.35478055  0.64672204  0.27852949
  0.43933873  0.32897621  0.4512765   0.88292823  0.80066013  1.16035191
  0.88677853  0.64054983  1.20276601  1.01138859]","[-1.10594424 -1.18288003 -1.05806202 -0.91657495 -1.09302638 -0.79167995
 -1.02124807 -1.10052209 -0.94031873 -1.06865495 -1.0877649  -1.13547803
 -1.01449151 -1.00317362 -1.21683409 -1.22879321]","[ 2.31460263  0.19660729  1.82647425  1.5049397   1.84948095 -1.36233872
  1.08591289  1.9132547  -1.48289848  0.58616048  1.89584425  0.23639272
  1.31193334  0.73252164 -0.61272789  0.72441231]","[-0.07891842  0.05962155  0.07667479 -0.39192971 -0.02107853 -0.06926675
 -0.89556698 -1.25528686  0.41292554  0.3634994  -0.37467888  0.50129778
 -0.36522862 -1.64603346 -0.70226664 -1.00627739]"
1021,"[96.66081238, 74.71186829, 58.70203781, 45.31394958, 21.28270721, 97.32035065, 66.0406723, 43.08744812, 94.94174957, 71.34687805, 44.16070175, 61.20714569, 44.94926071, 28.77817917, 47.00132751, 28.71958733]","[-27.84016037, -15.625247, -11.31654263, 5.029580593, -4.413218975, -0.5662328005, -3.582351208, 4.269096851, 0.3538243473, -2.299851894, 7.572742939, -0.7452970147, 6.101453304, -1.457986593, -6.218984127, 3.39184165]","[-14.15213966, -7.011940956, 5.814894676, 31.13472557, 4.153921604, 21.86387825, -23.0514164, -37.99362946, -1.75828135, -27.4154644, -59.07836151, -52.29627991, -65.46334076, -102.2059555, -75.01544952, -68.17121124]","[-94.78618622, -17.94260788, -117.3420105, -162.2754517, -173.9694672, -123.2156143, -116.8033676, -47.61295319, -39.92295837, -56.68194962, -6.320555687, -24.50781059, 14.78639412, -78.11771393, -134.460556, -61.46077728]","[1.81866921 1.45478161 1.18935751 0.9673988  0.56898915 1.82960358
 1.31102341 0.93048603 1.79016918 1.39899404 0.94827931 1.23088924
 0.96135269 0.69325523 0.99537353 0.69228385]","[-0.24541005 -0.0429012   0.02853204  0.29953148  0.142981    0.20675949
  0.15675581  0.28692356  0.22201296  0.17801813  0.34169411  0.20379082
  0.31730186  0.19197527  0.11304354  0.2723797 ]","[-0.01847882  0.09989726  0.31255106  0.73232399  0.28501409  0.57862428
 -0.16601833 -0.41374259  0.18699673 -0.2383691  -0.76330258 -0.65086367
 -0.869158   -1.47830722 -1.0275207  -0.9140513 ]","[-1.35529619 -0.08132031 -1.72924515 -2.47418861 -2.66806159 -1.82662258
 -1.72031509 -0.57321963 -0.44572859 -0.7235729   0.11135961 -0.19016363
  0.46128794 -1.07895258 -2.01305044 -0.80280022]"
1242,"[46.5865593, 68.98970795, 44.45194626, 41.91667175, 50.27563477, 81.5682373, 63.36174774, 26.68712044, 79.6336441, 52.62544632, 35.34853745, 53.56224823, 44.73978043, 70.210289, 55.94880676, 26.48830986]","[54.1418457, 82.57188416, 48.62436295, 22.71248436, 36.19797134, 83.60161591, 55.38900757, 29.44137955, 74.87069702, 42.86584473, 32.74515915, 59.56960297, 47.23166275, 54.15636826, 42.2934494, 34.60765457]","[-0.4960511029, 55.37324905, 31.87631607, -12.7566452, 51.0500145, 58.06135941, 13.77021599, -31.91722679, 64.0452652, 5.379840374, -13.11951637, 34.35370636, 21.65279388, -10.08988857, -5.920565128, -1.394163609]","[-55.31814194, 57.37530518, 23.50741196, -8.049283028, 40.81845093, 112.3964615, -14.25164509, -52.08899307, 151.910614, 50.18352509, 4.728897095, 58.24383545, 11.78093624, -11.55341625, 23.44400597, 22.02819061]","[ 0.29002597  0.91714126  0.23027328  0.15930516  0.39329162  1.26924301
  0.7596018  -0.26700476  1.21508933  0.45906821 -0.02455192  0.48529143
  0.23833042  0.95130811  0.55209666 -0.27256992]","[ 5.01515691e-01  1.29733738e+00  3.47068750e-01 -3.78263896e-01
 -7.74323853e-04  1.32616192e+00  5.36426599e-01 -1.89906755e-01
  1.08176357e+00  1.85874677e-01 -9.74264209e-02  6.53451010e-01
  3.08083892e-01  5.01922210e-01  1.69852025e-01 -4.52909214e-02]","[-1.0279238   0.53598548 -0.12174732 -1.37112582  0.41496828  0.61123183
 -0.62857841 -1.90747425  0.77873501 -0.86344418 -1.38128341 -0.05239951
 -0.40792705 -1.29647721 -1.17976833 -1.05306402]","[-2.56251929  0.5920276  -0.35601206 -1.239356    0.12856345  2.1321954
 -1.41297428 -2.47212804  3.23828675  0.39071326 -0.88166557  0.61633975
 -0.68426289 -1.33744469 -0.35778694 -0.39741884]"
1243,"[-34.48464203, -31.20874596, -34.06462479, -36.33204651, -27.59128189, -12.96305943, -24.9196682, -12.24927044, -16.85874557, -24.01056671, -23.76399231, -15.96094322, -27.07289314, -15.20937252, -29.33976936, -15.25484276]","[-24.23437691, -24.97907448, -23.96231651, -14.26809883, -23.17744064, -12.46785164, -26.08677864, -15.72398663, -29.82950211, -29.19184303, -17.38127708, -23.60426903, -10.84627533, -10.22027969, -27.14479637, -23.87664986]","[-72.70511627, 31.31293297, -10.71139145, -57.32279587, 22.37958336, 13.61553478, -94.29470062, -158.7419739, 27.83385658, -61.86906433, -97.0331955, -5.222703934, -30.14909554, -89.46042633, -36.88024902, -82.36000061]","[-2.55965209, 18.99515915, -24.11737442, -62.63936615, -18.52998543, 19.69467354, -41.71313858, -57.85380936, -44.43260193, -75.91101074, -68.90504456, -49.61689377, -13.35982418, -32.95761108, -18.99594116, -27.66674805]","[-0.14184907 -0.03806725 -0.12854274 -0.20037564  0.07653558  0.53996403
  0.16117347  0.56257718  0.416547    0.1899742   0.19778578  0.44498977
  0.09295836  0.46879986  0.02114274  0.46735934]","[0.18288379 0.15929145 0.19150278 0.49861982 0.21636799 0.55565243
 0.1241989  0.45249666 0.00562779 0.02582911 0.39999298 0.20284588
 0.60702467 0.62685649 0.09068044 0.19421674]","[-1.35269031  1.94264673  0.61129785 -0.86537171  1.65963433  1.38198546
 -2.03665773 -4.07837538  1.83242807 -1.00939947 -2.12341444  0.78518186
 -0.00449707 -1.88350582 -0.21774294 -1.65856125]","[ 0.8695485   1.5524143   0.18659048 -1.03380297  0.3636014   1.57457522
 -0.37085098 -0.88219445 -0.45700476 -1.45425444 -1.23230239 -0.62124538
  0.52739435 -0.09347206  0.34883971  0.07414478]"
